ICD-10-PCS代碼,健保醫令碼
00H632Z,83080B
02713DZ,33076B
02713DZ,33077B
02713ZZ,33076B
02723DZ,33076B
02723DZ,33077B
02723ZZ,33076B
02723ZZ,33077B
02H40JZ,68011B
02H40JZ,68012B
02H40JZ,68041B
02H40JZ,68046B
02H40MZ,68011B
02H40MZ,68012B
02H40MZ,68041B
02H44JZ,68011B
02H44JZ,68012B
02H44JZ,68041B
02H44JZ,68046B
02H44MZ,68011B
02H44MZ,68012B
02H44MZ,68041B
02H60JZ,68011B
02H60JZ,68012B
02H60JZ,68041B
02H60JZ,68046B
02H60MZ,68011B
02H60MZ,68012B
02H60MZ,68041B
02H63JZ,68011B
02H63JZ,68012B
02H63JZ,68041B
02H63JZ,68046B
02H64JZ,68011B
02H64JZ,68012B
02H64JZ,68041B
02H64JZ,68046B
02H64MZ,68011B
02H64MZ,68012B
02H64MZ,68041B
02H70JZ,68011B
02H70JZ,68012B
02H70JZ,68041B
02H70MZ,68011B
02H70MZ,68012B
02H70MZ,68041B
02H73JZ,68011B
02H73JZ,68012B
02H73JZ,68041B
02H74JZ,68011B
02H74JZ,68012B
02H74JZ,68041B
02H74MZ,68011B
02H74MZ,68012B
02H74MZ,68041B
02HK0JZ,68011B
02HK0JZ,68012B
02HK0JZ,68041B
02HK0JZ,68046B
02HK0MZ,68011B
02HK0MZ,68012B
02HK0MZ,68041B
02HK3JZ,68011B
02HK3JZ,68012B
02HK3JZ,68041B
02HK3JZ,68046B
02HK3MZ,68011B
02HK3MZ,68012B
02HK3MZ,68041B
02HK4JZ,68011B
02HK4JZ,68012B
02HK4JZ,68041B
02HK4JZ,68046B
02HK4MZ,68011B
02HK4MZ,68012B
02HK4MZ,68041B
02HL0JZ,68011B
02HL0JZ,68012B
02HL0JZ,68041B
02HL0JZ,68046B
02HL0MZ,68011B
02HL0MZ,68012B
02HL0MZ,68041B
02HL3JZ,68011B
02HL3JZ,68012B
02HL3JZ,68041B
02HL3JZ,68046B
02HL3MZ,68011B
02HL3MZ,68012B
02HL3MZ,68041B
02HL4JZ,68011B
02HL4JZ,68012B
02HL4JZ,68041B
02HL4JZ,68046B
02HL4MZ,68011B
02HL4MZ,68012B
02HL4MZ,68041B
02L70CK,68010B
02L70CK,68019B
02L70CK,68048B
02L70DK,68010B
02L70DK,68019B
02L70DK,68048B
02L70ZK,68010B
02L70ZK,68019B
02L70ZK,68048B
02L73CK,68010B
02L73CK,68019B
02L73CK,68048B
02L73DK,68010B
02L73DK,68019B
02L73DK,68048B
02L73ZK,68010B
02L73ZK,68019B
02L73ZK,68048B
02L74CK,68010B
02L74CK,68019B
02L74CK,68048B
02L74DK,68010B
02L74DK,68019B
02L74DK,68048B
02L74ZK,68010B
02L74ZK,68019B
02L74ZK,68048B
08QE3ZZ,86402C
08QF3ZZ,86402C
08SN0ZZ,87031C
08SN3ZZ,87031C
08SNXZZ,87031C
08SP0ZZ,87031C
08SP3ZZ,87031C
08SPXZZ,87031C
08SQ0ZZ,87031C
08SQ3ZZ,87031C
08SQXZZ,87031C
08SR0ZZ,87031C
08SR3ZZ,87031C
08SRXZZ,87031C
0B113F4,56003C
0B113F4,66006B
0B113F4,66012B
0B113F4,66013B
0B113F4,66014B
0B113F4,66023B
0B113Z4,56003C
0B113Z4,66006B
0B113Z4,66012B
0B113Z4,66013B
0B113Z4,66014B
0B113Z4,66023B
0DQ68ZZ,47043C
0DQ78ZZ,47043C
0DQ98ZZ,47043C
0J9L0ZZ,64197C
0J9M0ZZ,64197C
0J9N0ZZ,64197C
0J9P0ZZ,64197C
0JBJ0ZZ,48004C
0JBJ0ZZ,64089C
0JBJ3ZZ,64089C
0JBK0ZZ,64089C
0JBK3ZZ,64089C
0JH604Z,68012B
0JH604Z,68041B
0JH604Z,70407B
0JH605Z,68012B
0JH605Z,68041B
0JH606Z,68011B
0JH606Z,68012B
0JH606Z,68041B
0JH606Z,68046B
0JH634Z,68012B
0JH634Z,68041B
0JH634Z,70407B
0JH635Z,68012B
0JH635Z,68041B
0JH636Z,68011B
0JH636Z,68012B
0JH636Z,68041B
0JH636Z,68046B
0JH804Z,68012B
0JH804Z,68041B
0JH804Z,70407B
