診療項目代碼,健保支付點數,開始日期,結束日期,英文項目名稱,中文項目名稱,附註
00101B,0000260,20160401,29101231,,一般門診診察費–醫院門診診察費（不含牙科門診）  ２．地區醫院 （１）處方交付特約藥局調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00102B,0000260,20160401,29101231,,一般門診診察費–醫院門診診察費（不含牙科門診）  ２．地區醫院〔３〕未開處方或處方由本院所自行調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00103B,0000131,20160401,29101231,,一般門診診察費－醫院門診診察費（不含牙科門診）３．就診人次超出合理量部分：（２）未開處方或處方由本院所自行調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00105B,0000260,20160401,29101231,,一般門診診察費–醫院門診診察費（不含牙科門診） ４．金門馬祖以外之山地離島地區（1）處方交付特約藥局調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00106B,0000260,20160401,29101231,,一般門診診察費–醫院門診診察費（不含牙科門診）４．金門馬祖以外之山地離島地區（３）未開處方或處方由本院所自行調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00107B,0000262,20160401,29101231,,一般門診診察費–醫院門診診察費（不含牙科門診） ５．金門馬祖地區：（１）處方交付特約藥局調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00108B,0000262,20160401,29101231,,一般門診診察費–醫院門診診察費（不含牙科門診） ５．金門馬祖地區（３）未開處方或處方由本院所自行調劑,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。
00109C,0000352,20170301,29101231,,一般門診診察費－基層院所門診診察費１．每位醫師每日門診量在四十人次以下部分（1-1）處方交付特約藥局調劑(1-30人次）,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00110C,0000352,20170301,29101231,,一般門診診察費－基層院所門診診察費１．每位醫師每日門診量在四十人次以下部分（3-1）未開處方或處方由本院所自行調劑(1-30人次),通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
00111C,0000220,20150201,29101231,,一般門診診察費－基層院所門診診察費  ２．每位醫師每日門診量超過四十人次，但在六十人次以下部分（41-60）（１）處方交付特約藥局調劑,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。
